data,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,rent_1_median_c,rent_1_count_c,rent_2_median_c,rent_2_count_c,rent_3_median_c,rent_3_count_c,rent_4_median_c,rent_4_count_c,rent_5_median_c,rent_5_count_c,rent_6_median_c,rent_6_count_c,rent_1_median_h,rent_1_count_h,rent_2_median_h,rent_2_count_h,rent_3_median_h,rent_3_count_h,rent_4_median_h,rent_4_count_h,rent_5_median_h,rent_5_count_h,rent_6_median_h,rent_6_count_h,rent_1_median_th,rent_1_count_th,rent_2_median_th,rent_2_count_th,rent_3_median_th,rent_3_count_th,rent_4_median_th,rent_4_count_th,rent_5_median_th,rent_5_count_th,rent_6_median_th,rent_6_count_th
'2017-01-30',0,0,4600,3,8625,2,10000,2,0,0,0,0,0,0,4280,1,7750,1,0,0,0,0,0,0,0,0,7000,1,9500,1,10000,2,0,0,0,0,0,0,4600,1,0,0,0,0,0,0,0,0
'2017-02-01',0,0,7000,1,9500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,1,9500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-02',2025,3,4995,9,4475,2,8900,2,0,0,0,0,3495,1,4500,1,0,0,0,0,0,0,0,0,1962,2,4995,7,4475,2,8900,2,0,0,0,0,0,0,4400,1,0,0,0,0,0,0,0,0
'2017-02-03',2525,2,4925,6,0,0,6572,2,0,0,0,0,3500,1,4900,3,0,0,0,0,0,0,0,0,1550,1,4950,3,0,0,6572,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-04',3550,1,5650,2,7225,2,7447,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550,1,7000,1,7225,2,7447,2,0,0,0,0,0,0,4300,1,0,0,0,0,0,0,0,0
'2017-02-05',3495,3,4972,6,7600,1,8900,1,0,0,0,0,3495,1,4830,2,7600,1,0,0,0,0,0,0,2875,2,4972,4,0,0,8900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-06',2200,1,5300,5,7600,1,7150,1,0,0,0,0,0,0,4900,1,7600,1,0,0,0,0,0,0,2200,1,6150,4,0,0,7150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-07',3847,2,4995,5,6750,2,8900,1,4750,1,0,0,3495,1,4080,2,0,0,0,0,0,0,0,0,4200,1,4995,3,6750,2,8900,1,4750,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-08',2950,1,4995,5,6200,2,7247,2,0,0,0,0,0,0,0,0,7600,1,0,0,0,0,0,0,2950,1,4995,5,4800,1,7247,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-09',3495,5,5547,4,9500,1,0,0,0,0,0,0,3495,2,6100,1,0,0,0,0,0,0,0,0,1900,3,4995,3,9500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-10',3312,2,4775,2,8500,1,8900,1,0,0,0,0,3200,1,0,0,0,0,0,0,0,0,0,0,0,0,4775,2,8500,1,8900,1,0,0,0,0,3425,1,0,0,0,0,0,0,0,0,0,0
'2017-02-11',3847,2,5997,2,4425,2,5595,1,0,0,0,0,3495,1,0,0,0,0,0,0,0,0,0,0,4200,1,5997,2,4425,2,5595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-12',2025,1,0,0,4850,1,8900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,1,0,0,4850,1,8900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-13',0,0,5995,1,5500,3,0,0,0,0,0,0,0,0,5995,1,0,0,0,0,0,0,0,0,0,0,0,0,5500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-14',2760,2,5547,4,4600,1,5595,1,0,0,0,0,3495,1,6100,1,0,0,0,0,0,0,0,0,2025,1,4995,3,4600,1,5595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
