date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,home_1_median,home_1_count,home_1_median_hoa,hoa_1_bd_median,home_1_count_hoa,home_1_both_median,home_1_count+home_1_count_hoa,home_2_median,home_2_count,home_2_median_hoa,hoa_2_bd_median,home_2_count_hoa,home_2_both_median,home_2_count+home_2_count_hoa,home_3_median,home_3_count,home_3_median_hoa,hoa_3_bd_median,home_3_count_hoa,home_3_both_median,home_3_count+home_3_count_hoa,home_4_median,home_4_count,home_4_median_hoa,hoa_4_bd_median,home_4_count_hoa,home_4_both_median,home_4_count+home_4_count_hoa,home_5_median,home_5_count,home_5_median_hoa,hoa_5_bd_median,home_5_count_hoa,home_5_both_median,home_5_count+home_5_count_hoa,home_6_median,home_6_count,home_6_median_hoa,hoa_6_bd_median,home_6_count_hoa,home_6_both_median,home_6_count+home_6_count_hoa
'2016-12-11',1625,1,1945,2,2250,1,0,0,0,0,0,0,0,0,252250,278,6,1669,6,410000,10,318500,250,22,2076,32,488600,49,383000,357,10,2660,59,575000,31,0,0,0,3154,31,605000,13,0,0,0,3319,13,975000,1,0,0,0,5348,1
'2016-12-13',1735,1,1945,1,2150,1,0,0,0,0,0,0,0,0,230000,246,7,1544,7,410000,10,320000,250,23,2154,33,486800,48,383000,357,10,2741,58,575000,31,0,0,0,3250,31,618000,11,0,0,0,3493,11,975000,1,0,0,0,5511,1
'2016-12-14',1580,1,1957,2,0,0,0,0,0,0,0,0,0,0,230000,246,7,1544,7,410000,10,320000,250,23,2154,33,485000,49,336000,357,9,2721,58,575000,31,0,0,0,3250,31,618000,11,0,0,0,3493,11,975000,1,0,0,0,5511,1
'2016-12-15',1580,2,0,0,2650,1,0,0,0,0,0,0,0,0,230000,246,7,1544,7,410000,10,320000,250,23,2154,33,485000,49,336000,357,9,2721,58,575000,31,0,0,0,3250,31,618000,11,0,0,0,3493,11,975000,1,0,0,0,5511,1
