date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,home_1_median,home_1_count,home_1_median_hoa,hoa_1_bd_median,home_1_count_hoa,home_1_both_median,home_1_count+home_1_count_hoa,home_2_median,home_2_count,home_2_median_hoa,hoa_2_bd_median,home_2_count_hoa,home_2_both_median,home_2_count+home_2_count_hoa,home_3_median,home_3_count,home_3_median_hoa,hoa_3_bd_median,home_3_count_hoa,home_3_both_median,home_3_count+home_3_count_hoa,home_4_median,home_4_count,home_4_median_hoa,hoa_4_bd_median,home_4_count_hoa,home_4_both_median,home_4_count+home_4_count_hoa,home_5_median,home_5_count,home_5_median_hoa,hoa_5_bd_median,home_5_count_hoa,home_5_both_median,home_5_count+home_5_count_hoa,home_6_median,home_6_count,home_6_median_hoa,hoa_6_bd_median,home_6_count_hoa,home_6_both_median,home_6_count+home_6_count_hoa
'2016-12-11',1770,1,1726,14,2162,2,2250,1,0,0,0,0,0,0,224500,285,5,1503,5,438250,20,288000,351,24,2054,44,490000,79,334000,378,3,2674,82,529000,36,0,0,0,2902,36,780000,7,0,0,0,4279,7,862495,2,0,0,0,4731,2
'2016-12-13',1596,5,1825,11,2350,9,3410,1,2240,1,0,0,0,0,224500,285,5,1542,5,439000,19,286000,351,25,2111,44,489900,85,334000,378,3,2733,88,529000,36,0,0,0,2990,36,780000,7,0,0,0,4409,7,862495,2,0,0,0,4875,2
'2016-12-14',1596,5,1656,8,2150,3,0,0,0,0,0,0,0,0,224500,285,5,1542,5,439000,19,286000,351,25,2111,44,489900,83,334000,378,3,2727,86,533000,35,0,0,0,3012,35,780000,7,0,0,0,4409,7,862495,2,0,0,0,4875,2
'2016-12-15',1610,7,1875,16,2254,6,2250,1,0,0,0,0,0,0,224500,285,5,1542,5,439000,19,286000,351,25,2111,44,489900,83,334000,378,3,2727,86,533000,35,0,0,0,3012,35,780000,7,0,0,0,4409,7,862495,2,0,0,0,4875,2
