date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,home_1_median,home_1_count,home_1_median_hoa,hoa_1_bd_median,home_1_count_hoa,home_1_both_median,home_1_count+home_1_count_hoa,home_2_median,home_2_count,home_2_median_hoa,hoa_2_bd_median,home_2_count_hoa,home_2_both_median,home_2_count+home_2_count_hoa,home_3_median,home_3_count,home_3_median_hoa,hoa_3_bd_median,home_3_count_hoa,home_3_both_median,home_3_count+home_3_count_hoa,home_4_median,home_4_count,home_4_median_hoa,hoa_4_bd_median,home_4_count_hoa,home_4_both_median,home_4_count+home_4_count_hoa,home_5_median,home_5_count,home_5_median_hoa,hoa_5_bd_median,home_5_count_hoa,home_5_both_median,home_5_count+home_5_count_hoa,home_6_median,home_6_count,home_6_median_hoa,hoa_6_bd_median,home_6_count_hoa,home_6_both_median,home_6_count+home_6_count_hoa
'2016-12-11',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253775,1,0,0,0,1392,1,463125,12,0,0,0,2540,12,610000,79,0,0,0,3346,79,625250,30,0,0,0,3430,30,765000,7,0,0,0,4196,7
'2016-12-13',0,0,0,0,0,0,3950,1,0,0,0,0,0,0,0,0,0,0,0,380637,2,0,0,0,2151,2,476250,15,0,0,0,2692,15,610000,78,0,0,0,3448,78,624500,29,0,0,0,3530,29,747000,8,0,0,0,4222,8
'2016-12-14',1447,2,1114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380637,2,0,0,0,2151,2,476250,15,0,0,0,2692,15,610000,77,0,0,0,3448,77,622250,28,0,0,0,3517,28,747000,8,0,0,0,4222,8
'2016-12-15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380637,2,0,0,0,2151,2,476250,15,0,0,0,2692,15,610000,77,0,0,0,3448,77,624500,29,0,0,0,3530,29,765000,7,0,0,0,4324,7
