date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,home_1_median,home_1_count,home_1_median_hoa,hoa_1_bd_median,home_1_count_hoa,home_1_both_median,home_1_count+home_1_count_hoa,home_2_median,home_2_count,home_2_median_hoa,hoa_2_bd_median,home_2_count_hoa,home_2_both_median,home_2_count+home_2_count_hoa,home_3_median,home_3_count,home_3_median_hoa,hoa_3_bd_median,home_3_count_hoa,home_3_both_median,home_3_count+home_3_count_hoa,home_4_median,home_4_count,home_4_median_hoa,hoa_4_bd_median,home_4_count_hoa,home_4_both_median,home_4_count+home_4_count_hoa,home_5_median,home_5_count,home_5_median_hoa,hoa_5_bd_median,home_5_count_hoa,home_5_both_median,home_5_count+home_5_count_hoa,home_6_median,home_6_count,home_6_median_hoa,hoa_6_bd_median,home_6_count_hoa,home_6_both_median,home_6_count+home_6_count_hoa
'2016-12-11',929,3,1130,3,0,0,0,0,2500,1,0,0,0,0,49900,236,11,504,11,215000,33,73000,250,11,1055,44,277450,66,214950,271,2,1522,68,339500,26,333500,223,1,1876,27,425875,2,0,0,0,2336,2,0,0,0,0,0,0,0
'2016-12-13',0,0,1200,2,2095,1,0,0,0,0,0,0,0,0,53000,229,11,528,11,215500,28,67500,245,10,995,38,272000,64,214950,271,2,1537,66,337000,25,333500,223,1,1919,26,425875,2,0,0,0,2407,2,0,0,0,0,0,0,0
'2016-12-14',929,8,1130,7,2500,1,0,0,0,0,0,0,0,0,53000,229,11,528,11,215500,28,67500,245,10,995,38,272000,64,214950,271,2,1537,66,333500,22,333500,223,1,1904,23,425875,2,0,0,0,2407,2,0,0,0,0,0,0,0
'2016-12-15',1009,2,1345,1,1925,2,0,0,0,0,0,0,0,0,53000,229,11,528,11,215500,28,67500,245,10,995,38,272000,64,214950,271,2,1537,66,333500,22,333500,223,1,1904,23,425875,2,0,0,0,2407,2,0,0,0,0,0,0,0
