data,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,rent_1_median_c,rent_1_count_c,rent_2_median_c,rent_2_count_c,rent_3_median_c,rent_3_count_c,rent_4_median_c,rent_4_count_c,rent_5_median_c,rent_5_count_c,rent_6_median_c,rent_6_count_c,rent_1_median_h,rent_1_count_h,rent_2_median_h,rent_2_count_h,rent_3_median_h,rent_3_count_h,rent_4_median_h,rent_4_count_h,rent_5_median_h,rent_5_count_h,rent_6_median_h,rent_6_count_h,rent_1_median_th,rent_1_count_th,rent_2_median_th,rent_2_count_th,rent_3_median_th,rent_3_count_th,rent_4_median_th,rent_4_count_th,rent_5_median_th,rent_5_count_th,rent_6_median_th,rent_6_count_th
'2017-02-04',0,0,1029,3,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1,0,0,0,0,0,0,0,0,1029,3,0,0,0,0,0,0,0,0
'2017-02-05',0,0,699,1,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,1,1500,1,0,0,0,0,0,0
'2017-02-06',0,0,904,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,2,0,0,0,0,0,0,0,0
'2017-02-07',749,1,789,4,1500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,1,789,4,1500,4,0,0,0,0,0,0
'2017-02-08',0,0,924,4,1187,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,1,0,0,0,0,0,0,0,0,924,4,1380,1,0,0,0,0,0,0
'2017-02-09',0,0,879,2,1500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,2,1500,4,0,0,0,0,0,0
'2017-02-10',0,0,859,4,1099,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,4,1099,3,0,0,0,0,0,0
'2017-02-11',0,0,749,3,1099,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,3,1099,4,0,0,0,0,0,0
'2017-02-12',0,0,729,1,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,1,1500,1,0,0,0,0,0,0
'2017-02-13',0,0,789,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,2,0,0,0,0,0,0,0,0
'2017-02-14',0,0,974,2,1380,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,2,1380,3,0,0,0,0,0,0
'2017-02-15',0,0,729,1,1224,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1,0,0,0,0,0,0,0,0,729,1,1099,5,0,0,0,0,0,0
'2017-02-16',0,0,839,3,1199,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,2,0,0,0,0,0,0,0,0,839,3,1199,6,0,0,0,0,0,0
'2017-02-17',799,1,884,6,1099,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,1,0,0,0,0,0,0,0,0,0,0,0,0,884,6,1099,2,0,0,0,0,0,0
'2017-02-18',0,0,839,3,1375,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1,0,0,0,0,0,0,0,0,839,3,1350,3,0,0,0,0,0,0
'2017-02-20',0,0,879,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,2,0,0,0,0,0,0,0,0
'2017-02-22',0,0,929,4,1175,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,4,1175,8,0,0,0,0,0,0
'2017-02-26',0,0,900,1,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,1,1500,1,0,0,0,0,0,0
'2017-02-27',0,0,874,2,0,0,1700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,1,0,0,0,0,0,0,874,2,0,0,0,0,0,0,0,0
'2017-02-28',0,0,749,1,1175,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1,0,0,0,0,0,0,0,0,749,1,1175,4,0,0,0,0,0,0
