City,State,Zip Code,1 Bedroom,2 Bedroom,3 Bedroom,4 Bedroom,5 Bedroom,6 Bedroom
Alexandria,VA,22310,0,0,0,0,0,0
Alexandria,VA,22311,0,0,0,0,0,0
Alexandria,VA,22312,0,1.982,0,0,0,0
Alexandria,VA,22314,1.141,0,0,0,0,0
Alexandria,VA,22315,0,1.048,0,0,0,0
Annandale,VA,22003,0.99,0,0,0,0,0
Arlington,VA,22201,1.295,0,0,0,0,0
Arlington,VA,22202,0,0,0,0,0,0
Arlington,VA,22203,1.063,0,0,0,0,0
Arlington,VA,22204,0.896,1.116,0,0,0,0
Arlington,VA,22205,0,0,0,0,0,0
Arlington,VA,22206,0,1.285,0,0,0,0
Arlington,VA,22207,0,0,0,0,0,0
Arlington,VA,22209,0.679,0,0,0,0,0
Arlington,VA,22213,0,0,0,0,0,0
Ashburn,VA,20147,0,1.363,0,0,0,0
Ashburn,VA,20148,0,0,0,0,0,0
Bristow,VA,20136,0,0,0,0,0,0
Burke,VA,22015,0,0,0,0,0,0
Burke,VA,22015,0,0,0,0,0,0
Catharpin,VA,20143,0,0,0,0,0,0
Centreville,VA,20120,0,0,0,0,0,0
Centreville,VA,20121,0,0,0,0,0,0
Chantilly,VA,20151,0,0,0,0,0,0
Chantilly,VA,20152,0,0,0,0,0,0
Clifton,VA,20124,0,0,0,0,0,0
Dumfries,VA,22026,0,0,0,0,0,0
Dunn Loring,VA,22027,0,0,0,0,0,0
Fairfax,VA,22030,0,0,0,0,0,0
Fairfax,VA,22031,0,0,0,0,0,0
Fairfax,VA,22032,0,0,0,0,0,0
Fairfax,VA,22033,0,1.11,1.162,0,0,0
Fairfax Station,VA,22039,0,0,0,0,0,0
Falls Church,VA,22041,0.976,0,0,0,0,0
Falls Church,VA,22042,1.968,0,0,0,0,0
Falls Church,VA,22043,0,1.015,0,0,0,0
Falls Church,VA,22044,0,1.051,0,0,0,0
Falls Church,VA,22046,0,1.121,0,0,0,0
Fort Belvoir,VA,22060,0,0,0,0,0,0
Gainesville,VA,20155,0,0,0,0,0,0
Great Falls,VA,22066,0,0,0,0,0,0
Haymarket,VA,20169,0,0,0,0,0,0
Herndon,VA,20170,0,0,0,0,0,0
