Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
washingtondc,,Washington,DC,20019,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0.587,404,0.896,137,1.254,-343,0,0,0,0,0,0,0.587,404,0.468,700,0,0,0,0,0,0,0,0,0.632,360,0.9,131,1.223,-301,0,0,0,0,0,0,0,0,0.985,20,1.378,-510,0,0,0,0,0,0
washingtondc,,Washington,DC,20020,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0.393,578,0.782,276,1.059,-98,0,0,0,0,2.324,-1803,0.393,578,0.635,463,0,0,0,0,0,0,0,0,0,0,1.026,-33,1.044,-72,0,0,0,0,2.324,-1803,0,0,0,0,1.09,-149,0,0,0,0,0,0
washingtondc,,Washington,DC,20024,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',1.383,-689,1.384,-959,0,0,0,0,0,0,0,0,1.383,-689,1.419,-1048,0,0,0,0,0,0,0,0,0,0,1.262,-655,0,0,0,0,0,0,0,0,0,0,1.358,-894,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20032,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',1.264,-262,0.592,530,0.932,101,0,0,0,0,0,0,1.285,-283,0.462,700,0.433,847,0,0,0,0,0,0,0.532,464,0.936,84,0.896,155,0,0,0,0,0,0,0,0,0,0,0.991,14,0,0,0,0,0,0
washingtondc,,Washington,DC,20036,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',1.206,-464,1.118,-421,0,0,0,0,0,0,0,0,1.22,-495,1.035,-127,0,0,0,0,0,0,0,0,0.184,1836,0,0,0,0,0,0,0,0,0,0,0,0,1.328,-1175,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20037,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',1.368,-846,1.622,-2115,1.666,-2996,0,0,0,0,0,0,1.381,-877,1.79,-2685,3.519,-11337,0,0,0,0,0,0,1.118,-272,1.346,-1178,0.527,2129,0,0,0,0,0,0,0.877,284,0.896,355,1.036,-163,0,0,0,0,0,0
washingtondc,,Aldie,VA,20105,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0,0,1.499,-599,1.294,-558,0,0,0,0,0,0,0,0,0,0,1.173,-328,0,0,0,0,0,0,0,0,1.442,-530,1.876,-1665,0,0,0,0,0,0,0,0,1.529,-635,1.237,-450,0,0,0,0,0,0
washingtondc,,Manassas,VA,20109,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',1.133,-168,0.952,68,0.901,159,0,0,0,0,0,0,0.607,495,0.912,126,0,0,0,0,0,0,0,0,0,0,1.184,-262,1.198,-317,0,0,0,0,0,0,1.66,-831,0.971,41,0.887,181,0,0,0,0,0,0
washingtondc,,Manassas,VA,20110,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0,0,0.955,60,0.915,138,1.461,-669,0,0,0,0,0,0,1.112,-147,0.682,516,0,0,0,0,0,0,0,0,0,0,1.139,-226,1.501,-726,0,0,0,0,0,0,0.942,77,0.859,230,1.048,-69,0,0,0,0
washingtondc,,Manassas,VA,20111,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0,0,1.1,-135,0.792,400,1.199,-328,0,0,0,0,0,0,1.115,-155,0,0,0,0,0,0,0,0,0,0,0.749,339,0.778,428,1.358,-590,0,0,0,0,0,0,0,0,0.82,346,1.072,-119,0,0,0,0
washingtondc,,Manassas,VA,20112,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0,0,0,0,1.059,-110,1.163,-357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.015,-27,1.175,-385,0,0,0,0,0,0,0,0,1.161,-298,0.963,81,0,0,0,0
washingtondc,,Centreville,VA,20120,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',1.044,-61,1.134,-193,1.041,-80,1.402,-744,0,0,0,0,1.112,-157,1.15,-216,0,0,0,0,0,0,0,0,0,0,0.853,211,1.299,-576,1.535,-989,0,0,0,0,0.977,33,1.042,-60,1.026,-50,1.118,-218,0,0,0,0
washingtondc,,Centreville,VA,20121,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0.854,193,1.162,-227,1.098,-173,1.285,-627,0,0,0,0,0.925,99,1.048,-67,0.749,441,0,0,0,0,0,0,0.854,193,0.94,85,1.073,-128,1.439,-966,0,0,0,0,0,0,1.204,-287,1.113,-198,1.009,-19,0,0,0,0
