Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
washingtondc,,Washington,DC,20019,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0.877,171,0.871,246,0,0,0,0,0,0,0,0,0.579,467,0,0,0,0,0,0,0,0,0,0,0.972,35,0.828,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20019,Successful,'2017-03-02',Successful,'2017-03-04',||,'2017-03-04',0,0,0.877,171,0.871,246,0,0,0,0,0,0,0,0,0.579,467,0,0,0,0,0,0,0,0,0,0,0.972,35,0.828,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20020,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20024,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,1.451,-1163,0,0,0,0,0,0,0,0,0,0,1.473,-1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20032,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20036,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',1.403,-775,0,0,0,0,0,0,0,0,0,0,1.445,-845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20037,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',1.526,-1101,0,0,0,0,0,0,0,0,0,0,1.553,-1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20052,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
washingtondc,,Washington,DC,20245,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
washingtondc,,Aldie,VA,20105,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Manassas,VA,20109,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0.846,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822,303,0,0,0,0,0,0
