Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
baltimore,,Baltimore,MD,21225,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0.634,316,0.565,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167,-125,0,0,0,0,0,0,0,0,0.326,582,0.995,4,0,0,0,0,0,0
baltimore,,Baltimore,MD,21226,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baltimore,,Baltimore,MD,21227,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0.828,159,1.041,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.372,-634,0,0,0,0,0,0,0,0,0,0,0.942,65,0,0,0,0,0,0
baltimore,,Baltimore,MD,21228,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0,0,1.153,-184,1.071,-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.175,-210,1.099,-194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baltimore,,Baltimore,MD,21229,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0.4,537,0.61,273,0.604,482,3.363,-619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579,310,0,0,0,0,0,0,0,0,0.372,562,0.577,296,0.186,990,0,0,0,0
baltimore,,Baltimore,MD,21230,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',1.779,-621,1.017,-23,0.984,20,1.222,-316,0,0,0,0,2.838,-1465,3.643,-2905,0,0,0,0,0,0,0,0,0,0,1.627,-470,1.437,-256,0,0,0,0,0,0,0,0,1.118,-155,1.478,-603,2.046,-1491,0,0,0,0
baltimore,,Baltimore,MD,21231,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,1.524,-452,0.949,94,3.41,-1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.808,-788,0,0,0,0,0,0,0,0,1.653,-563,0.924,141,3.382,-1184,0,0,0,0
baltimore,,Baltimore,MD,21236,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0.641,482,0.885,170,0,0,0,0,0,0,0,0,1.495,-320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609,534,0.858,209,0,0,0,0,0,0
baltimore,,Baltimore,MD,21237,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0,0,0.772,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.411,-635,0,0,0,0,0,0,0,0,0,0,0.569,765,0,0,0,0,0,0
baltimore,,Baltimore,MD,21240,Successful,'2017-02-08',FAILED,'2017-02-08',,,,,,,,,,,,,
baltimore,,Baltimore,MD,21244,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0,0,1.047,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.209,-170,0,0,0,0,0,0
baltimore,,Baltimore,MD,21286,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,1.208,-135,2.556,-828,2.106,-1217,0,0,0,0,0,0,1.847,-550,0,0,0,0,0,0,0,0,0,0,0,0,3.453,-1305,2.106,-1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baltimore,,Baltimore,MD,21287,Successful,'2017-02-08',FAILED,'2017-02-08',,,,,,,,,,,,,
baltimore,,Baltimore,MD,21233,Successful,'2017-02-08',FAILED,'2017-02-08',,,,,,,,,,,,,
baltimore,,Baltimore,MD,21234,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0.538,413,0.627,555,1.891,-579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601,618,1.96,-624,0,0,0,0,0,0,0.269,653,0.636,527,0,0,0,0,0,0
baltimore,,Baltimore,MD,21239,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0,0,1.272,-163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.027,-16,0,0,0,0,0,0
,,,,,,,,,||,'2017-02-08',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
