Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
miami,,Miami,FL,33165,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0.994,10,0.799,463,0.807,501,0.788,499,0,0,0,0,0.546,681,0,0,0,0,0,0,0,0,0,0,0,0,0.799,463,0.807,501,0.788,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33162,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0.156,676,0.602,518,0.568,864,0.552,985,0.818,418,0,0,0,0,0.396,785,0,0,0,0,0,0,0,0,0,0,0,0,0.584,833,0.552,985,0.818,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33166,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0.534,652,0.545,888,0.998,5,0,0,0,0,0,0,0.534,652,0.487,1001,0,0,0,0,0,0,0,0,0,0,0.854,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33167,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0,0,0.567,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33172,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0.608,588,0.739,483,0.721,921,0,0,0,0,0,0,0.608,588,0.719,507,0,0,0,0,0,0,0,0,0,0,0,0,0.721,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33174,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0.548,700,0.751,486,0.893,236,0,0,0,0,0,0,0.582,606,0,0,0,0,0,0,0,0,0,0,0,0,0.806,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33176,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0.525,606,0.67,479,0.68,751,1.302,-694,1.885,-2026,0,0,0.525,606,0.658,496,0.607,916,0,0,0,0,0,0,0,0,0.931,118,0.769,554,1.302,-694,1.885,-2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33178,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0.62,777,0.841,351,0.843,441,0,0,0,0,0,0,0.619,780,0.839,314,0,0,0,0,0,0,0,0,0,0,0.835,436,0.879,359,0,0,0,0,0,0,0,0,1.157,-364,1.355,-817,0,0,0,0
miami,,Miami,FL,33168,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0.488,717,0.525,830,0.558,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488,717,0.471,1031,0.558,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33169,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0.4,780,0.598,763,0,0,0.674,864,0,0,0,0,0.411,736,0.517,845,0,0,0,0,0,0,0,0,0,0,0.609,742,0,0,0.674,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
