date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,home_1_median,home_1_count,home_1_median_hoa,hoa_1_bd_median,home_1_count_hoa,home_1_both_median,home_1_count+home_1_count_hoa,home_2_median,home_2_count,home_2_median_hoa,hoa_2_bd_median,home_2_count_hoa,home_2_both_median,home_2_count+home_2_count_hoa,home_3_median,home_3_count,home_3_median_hoa,hoa_3_bd_median,home_3_count_hoa,home_3_both_median,home_3_count+home_3_count_hoa,home_4_median,home_4_count,home_4_median_hoa,hoa_4_bd_median,home_4_count_hoa,home_4_both_median,home_4_count+home_4_count_hoa,home_5_median,home_5_count,home_5_median_hoa,hoa_5_bd_median,home_5_count_hoa,home_5_both_median,home_5_count+home_5_count_hoa,home_6_median,home_6_count,home_6_median_hoa,hoa_6_bd_median,home_6_count_hoa,home_6_both_median,home_6_count+home_6_count_hoa
'2016-12-11',1221,23,1535,19,1349,7,1700,1,0,0,0,0,54450,4,0,0,0,298,4,200000,15,0,0,0,1097,15,273450,10,0,0,0,1500,10,409000,7,0,0,0,2243,7,369000,3,0,0,0,2024,3,440000,3,0,0,0,2413,3
'2016-12-13',1215,41,1513,25,1637,12,0,0,0,0,0,0,54450,4,0,0,0,307,4,188500,14,0,0,0,1065,14,277000,11,0,0,0,1565,11,409000,7,0,0,0,2311,7,369000,3,0,0,0,2085,3,440000,3,0,0,0,2487,3
'2016-12-14',1195,30,1417,21,1575,3,0,0,0,0,0,0,54450,4,0,0,0,307,4,188500,14,0,0,0,1065,14,277000,11,0,0,0,1565,11,409000,7,0,0,0,2311,7,369000,3,0,0,0,2085,3,440000,3,0,0,0,2487,3
'2016-12-15',1245,29,1517,28,1567,6,0,0,0,0,0,0,54450,4,0,0,0,307,4,200000,15,0,0,0,1130,15,277000,11,0,0,0,1565,11,409000,7,0,0,0,2311,7,369000,3,0,0,0,2085,3,440000,3,0,0,0,2487,3
