data,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,rent_1_median_c,rent_1_count_c,rent_2_median_c,rent_2_count_c,rent_3_median_c,rent_3_count_c,rent_4_median_c,rent_4_count_c,rent_5_median_c,rent_5_count_c,rent_6_median_c,rent_6_count_c,rent_1_median_h,rent_1_count_h,rent_2_median_h,rent_2_count_h,rent_3_median_h,rent_3_count_h,rent_4_median_h,rent_4_count_h,rent_5_median_h,rent_5_count_h,rent_6_median_h,rent_6_count_h,rent_1_median_th,rent_1_count_th,rent_2_median_th,rent_2_count_th,rent_3_median_th,rent_3_count_th,rent_4_median_th,rent_4_count_th,rent_5_median_th,rent_5_count_th,rent_6_median_th,rent_6_count_th
'2017-01-29',0,0,2150,11,2200,27,2975,2,0,0,0,0,0,0,2150,10,2100,10,0,0,0,0,0,0,0,0,0,0,2647,4,2975,2,0,0,0,0,0,0,2100,1,2200,13,0,0,0,0,0,0
'2017-01-30',0,0,2047,7,2494,26,2800,7,0,0,0,0,0,0,2047,7,1850,1,2350,1,0,0,0,0,0,0,0,0,2400,7,3500,3,0,0,0,0,0,0,0,0,2500,18,2450,3,0,0,0,0
'2017-01-31',1700,2,1850,19,1973,34,2300,3,3900,3,0,0,1700,2,1837,18,1950,25,0,0,0,0,0,0,0,0,0,0,2850,3,2470,2,3900,3,0,0,0,0,1850,1,2312,6,2300,1,0,0,0,0
'2017-02-01',1500,1,1850,7,2450,11,2650,17,4000,1,0,0,1500,1,1850,7,2200,4,0,0,0,0,0,0,0,0,0,0,2300,3,3295,12,4000,1,0,0,0,0,0,0,2475,4,2350,5,0,0,0,0
'2017-02-02',1847,2,1950,1,2600,7,2350,8,3100,1,0,0,1847,2,1950,1,1900,1,0,0,0,0,0,0,0,0,0,0,2850,3,2690,5,3100,1,0,0,0,0,0,0,2395,3,2350,3,0,0,0,0
'2017-02-03',0,0,1850,34,2110,70,3275,8,0,0,0,0,0,0,1850,31,2000,33,0,0,0,0,0,0,0,0,0,0,2400,12,3200,7,0,0,0,0,0,0,1900,3,2350,25,3350,1,0,0,0,0
'2017-02-05',1500,1,1850,7,2500,13,3000,7,3600,4,0,0,1500,1,1850,7,2024,4,0,0,0,0,0,0,0,0,0,0,2850,3,3390,5,3600,4,0,0,0,0,0,0,2720,6,2649,2,0,0,0,0
'2017-02-06',0,0,0,0,2675,6,2525,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,1,2525,2,0,0,0,0,0,0,0,0,2600,5,0,0,0,0,0,0
'2017-02-07',1600,1,1850,32,2200,60,2400,10,3200,3,0,0,1600,1,1850,29,1950,29,0,0,0,0,0,0,0,0,0,0,2400,7,2895,6,3200,3,0,0,0,0,2100,3,2425,24,2350,4,0,0,0,0
'2017-02-08',1550,2,1850,7,2250,16,3350,9,3400,2,0,0,1550,2,1850,7,1850,5,0,0,0,0,0,0,0,0,0,0,2300,1,3295,8,3400,2,0,0,0,0,0,0,2372,10,3350,1,0,0,0,0
