data,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,rent_1_median_c,rent_1_count_c,rent_2_median_c,rent_2_count_c,rent_3_median_c,rent_3_count_c,rent_4_median_c,rent_4_count_c,rent_5_median_c,rent_5_count_c,rent_6_median_c,rent_6_count_c,rent_1_median_h,rent_1_count_h,rent_2_median_h,rent_2_count_h,rent_3_median_h,rent_3_count_h,rent_4_median_h,rent_4_count_h,rent_5_median_h,rent_5_count_h,rent_6_median_h,rent_6_count_h,rent_1_median_th,rent_1_count_th,rent_2_median_th,rent_2_count_th,rent_3_median_th,rent_3_count_th,rent_4_median_th,rent_4_count_th,rent_5_median_th,rent_5_count_th,rent_6_median_th,rent_6_count_th
'2017-02-27',0,0,1450,4,2000,3,2500,5,0,0,0,0,0,0,1450,4,1575,1,0,0,0,0,0,0,0,0,0,0,2550,1,2500,5,0,0,0,0,0,0,0,0,2000,1,0,0,0,0,0,0
'2017-02-28',1300,12,1475,124,2000,61,2600,23,3200,12,3000,1,1300,12,1475,121,1650,1,0,0,0,0,0,0,0,0,1850,1,2000,46,2600,21,3200,12,3000,1,0,0,1612,2,2000,14,3025,2,0,0,0,0
'2017-03-01',1000,1,1450,59,1950,16,2500,9,0,0,0,0,0,0,1450,55,0,0,0,0,0,0,0,0,1000,1,0,0,1950,12,2500,8,0,0,0,0,0,0,1750,4,1975,4,2200,1,0,0,0,0
'2017-03-04',1300,9,1475,52,1950,23,2800,18,3200,8,3000,1,1300,9,1475,50,0,0,0,0,0,0,0,0,0,0,0,0,1950,15,2875,14,3200,8,3000,1,0,0,1850,2,1975,8,2092,4,0,0,0,0
'2017-03-05',0,0,1475,105,1944,30,2500,11,3200,1,0,0,0,0,1462,102,1650,1,0,0,0,0,0,0,0,0,1850,1,1950,23,2500,10,3200,1,0,0,0,0,1662,2,1925,6,1900,1,0,0,0,0
'2017-03-06',0,0,1450,6,2300,1,3000,1,0,0,0,0,0,0,1450,6,0,0,0,0,0,0,0,0,0,0,0,0,2300,1,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-07',1300,11,1450,88,1997,20,2875,20,3200,6,3000,1,1300,11,1450,88,0,0,0,0,0,0,0,0,0,0,0,0,1997,12,2875,18,3200,6,3000,1,0,0,0,0,1925,8,3025,2,0,0,0,0
'2017-03-08',1300,3,1475,71,1939,29,2275,4,0,0,0,0,1300,3,1475,68,1612,2,0,0,0,0,0,0,0,0,1850,1,1944,22,2500,3,0,0,0,0,0,0,1737,2,2100,5,2050,1,0,0,0,0
'2017-03-09',1300,11,1450,70,1972,16,2875,14,3200,8,3000,1,1300,11,1450,70,1575,1,0,0,0,0,0,0,0,0,0,0,1995,11,2875,12,3200,8,3000,1,0,0,0,0,1850,4,2950,2,0,0,0,0
'2017-03-10',0,0,1475,72,2000,30,2500,12,3500,1,0,0,0,0,1475,70,1650,1,0,0,0,0,0,0,0,0,1850,1,2000,28,2500,12,3500,1,0,0,0,0,1675,1,2000,1,0,0,0,0,0,0
'2017-03-11',0,0,1450,54,2237,2,2500,5,2475,1,0,0,0,0,1450,53,0,0,0,0,0,0,0,0,0,0,0,0,2475,1,2500,5,2475,1,0,0,0,0,1650,1,2000,1,0,0,0,0,0,0
'2017-03-12',1300,13,1475,42,1997,18,2175,4,0,0,0,0,1300,13,1475,42,1575,1,0,0,0,0,0,0,0,0,0,0,1995,9,2175,4,0,0,0,0,0,0,0,0,2050,8,0,0,0,0,0,0
'2017-03-13',950,1,1450,3,2000,5,2800,7,0,0,0,0,0,0,1450,2,0,0,0,0,0,0,0,0,950,1,0,0,2025,4,2800,7,0,0,0,0,0,0,1650,1,2000,1,0,0,0,0,0,0
'2017-03-14',1300,9,1475,72,1950,36,2246,18,2675,1,0,0,1300,9,1475,71,1650,1,0,0,0,0,0,0,0,0,0,0,1957,24,2292,17,2675,1,0,0,0,0,1675,1,1950,11,1900,1,0,0,0,0
