data,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,rent_1_median_c,rent_1_count_c,rent_2_median_c,rent_2_count_c,rent_3_median_c,rent_3_count_c,rent_4_median_c,rent_4_count_c,rent_5_median_c,rent_5_count_c,rent_6_median_c,rent_6_count_c,rent_1_median_h,rent_1_count_h,rent_2_median_h,rent_2_count_h,rent_3_median_h,rent_3_count_h,rent_4_median_h,rent_4_count_h,rent_5_median_h,rent_5_count_h,rent_6_median_h,rent_6_count_h,rent_1_median_th,rent_1_count_th,rent_2_median_th,rent_2_count_th,rent_3_median_th,rent_3_count_th,rent_4_median_th,rent_4_count_th,rent_5_median_th,rent_5_count_th,rent_6_median_th,rent_6_count_th
'2017-01-29',0,0,2200,3,1500,1,4100,1,0,0,0,0,0,0,2590,1,0,0,0,0,0,0,0,0,0,0,1300,1,1500,1,4100,1,0,0,0,0,0,0,2200,1,0,0,0,0,0,0,0,0
'2017-01-30',0,0,2100,2,2675,4,5800,2,0,0,0,0,0,0,2100,2,0,0,0,0,0,0,0,0,0,0,0,0,2675,4,5800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-31',1200,1,1950,9,2200,5,4000,3,0,0,0,0,1200,1,1900,7,2350,3,0,0,0,0,0,0,0,0,2800,1,1850,2,4000,3,0,0,0,0,0,0,2600,1,0,0,0,0,0,0,0,0
'2017-02-01',0,0,1300,1,3100,2,3850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,1,3100,2,3850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-02',0,0,1600,5,2399,2,4000,3,0,0,0,0,0,0,1575,2,0,0,0,0,0,0,0,0,0,0,1300,1,2399,2,4000,3,0,0,0,0,0,0,2400,2,0,0,0,0,0,0,0,0
'2017-02-03',1325,6,1975,10,2350,9,3900,3,0,0,0,0,1325,6,2000,7,2350,2,0,0,0,0,0,0,0,0,1500,1,2200,7,3900,3,0,0,0,0,0,0,1997,2,0,0,0,0,0,0,0,0
'2017-02-05',0,0,0,0,2000,2,3950,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2,3950,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-06',0,0,1600,4,1500,3,4000,1,0,0,0,0,0,0,1600,3,0,0,0,0,0,0,0,0,0,0,1500,1,1500,3,4000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-07',1200,1,1750,6,2425,6,3950,4,0,0,0,0,1200,1,2000,5,2350,2,0,0,0,0,0,0,0,0,1500,1,2675,4,3950,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-08',0,0,1740,4,1500,3,3600,1,0,0,0,0,0,0,1740,2,0,0,0,0,0,0,0,0,0,0,1500,1,1500,3,3600,1,0,0,0,0,0,0,2400,1,0,0,0,0,0,0,0,0
'2017-02-09',0,0,2000,7,2300,5,4050,2,1335,1,0,0,0,0,1725,4,2350,3,0,0,0,0,0,0,0,0,1500,1,1664,2,4050,2,1335,1,0,0,0,0,2300,2,0,0,0,0,0,0,0,0
'2017-02-10',1272,2,1800,12,2350,9,4000,3,0,0,0,0,1272,2,1900,9,2350,3,0,0,0,0,0,0,0,0,0,0,2500,5,4000,3,0,0,0,0,0,0,1700,3,1900,1,0,0,0,0,0,0
'2017-02-11',1200,1,2037,4,2200,3,3950,2,0,0,0,0,1200,1,2500,3,0,0,0,0,0,0,0,0,0,0,1500,1,2200,3,3950,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-12',0,0,1530,7,1500,3,4100,1,0,0,0,0,0,0,1530,5,0,0,0,0,0,0,0,0,0,0,1500,1,1500,2,4100,1,0,0,0,0,0,0,2200,1,2499,1,0,0,0,0,0,0
'2017-02-13',0,0,1450,2,1664,2,0,0,0,0,0,0,0,0,1450,2,0,0,0,0,0,0,0,0,0,0,0,0,1664,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-14',0,0,1600,5,1500,2,3950,4,0,0,0,0,0,0,1600,5,0,0,0,0,0,0,0,0,0,0,0,0,1500,2,3950,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-15',0,0,1700,9,4337,2,6600,2,0,0,0,0,0,0,1615,6,0,0,0,0,0,0,0,0,0,0,1500,1,4337,2,6600,2,0,0,0,0,0,0,2400,2,0,0,0,0,0,0,0,0
'2017-02-16',1200,1,2200,5,2350,3,4100,1,0,0,0,0,1200,1,2000,3,2350,2,0,0,0,0,0,0,0,0,2800,1,1500,1,4100,1,0,0,0,0,0,0,2200,1,0,0,0,0,0,0,0,0
'2017-02-17',0,0,1550,7,2375,5,3950,4,0,0,0,0,0,0,1550,7,2387,2,0,0,0,0,0,0,0,0,0,0,2200,3,3950,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-18',0,0,2400,1,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1,0,0,0,0,0,0,0,0,2400,1,0,0,0,0,0,0,0,0
'2017-02-20',0,0,1940,2,3499,1,3900,1,0,0,0,0,0,0,1940,2,0,0,0,0,0,0,0,0,0,0,0,0,3499,1,3900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
