data,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,rent_1_median_c,rent_1_count_c,rent_2_median_c,rent_2_count_c,rent_3_median_c,rent_3_count_c,rent_4_median_c,rent_4_count_c,rent_5_median_c,rent_5_count_c,rent_6_median_c,rent_6_count_c,rent_1_median_h,rent_1_count_h,rent_2_median_h,rent_2_count_h,rent_3_median_h,rent_3_count_h,rent_4_median_h,rent_4_count_h,rent_5_median_h,rent_5_count_h,rent_6_median_h,rent_6_count_h,rent_1_median_th,rent_1_count_th,rent_2_median_th,rent_2_count_th,rent_3_median_th,rent_3_count_th,rent_4_median_th,rent_4_count_th,rent_5_median_th,rent_5_count_th,rent_6_median_th,rent_6_count_th
'2017-01-29',1450,47,1695,5,1795,1,0,0,0,0,0,0,1450,47,1695,5,0,0,0,0,0,0,0,0,0,0,0,0,1795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-30',1450,38,1800,3,0,0,0,0,0,0,0,0,1450,38,0,0,0,0,0,0,0,0,0,0,0,0,1800,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-31',1450,13,0,0,2600,1,3100,1,0,0,0,0,1450,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,1,0,0,0,0,0,0,0,0,2600,1,0,0,0,0,0,0
'2017-02-01',1450,10,0,0,0,0,0,0,0,0,0,0,1450,9,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-02',1450,4,0,0,0,0,0,0,0,0,0,0,1450,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-03',1450,10,0,0,0,0,0,0,0,0,0,0,1450,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-04',1450,25,2062,2,0,0,3100,1,0,0,0,0,1450,24,1875,1,0,0,0,0,0,0,0,0,500,1,0,0,0,0,3100,1,0,0,0,0,0,0,2250,1,0,0,0,0,0,0,0,0
